year,urbanization,sex,age_group,x,nDx,nEx
2017,Large Fringe Metro,Female,20-24,20,1229,2484795
2017,Large Fringe Metro,Female,25-29,25,1824,2562019
2017,Large Fringe Metro,Female,30-34,30,2366,2617109
2017,Large Fringe Metro,Female,35-39,35,2852,2707985
2017,Large Fringe Metro,Female,40-44,40,3480,2602280
2017,Large Fringe Metro,Female,45-49,45,5725,2866469
2017,Large Fringe Metro,Female,50-54,50,9035,2947983
2017,Large Fringe Metro,Female,55-59,55,14386,2966437
2017,Large Fringe Metro,Female,60-64,60,18277,2620556
2017,Large Fringe Metro,Female,65-69,65,23022,2200330
2017,Large Fringe Metro,Female,70-74,70,29063,1705712
2017,Large Fringe Metro,Female,75-79,75,33097,1167398
2017,Large Fringe Metro,Female,80-84,80,41544,825179
2017,Large Fringe Metro,Female,85+,85,133602,1019427
2018,Large Fringe Metro,Female,1,0,2014,447240
2018,Large Fringe Metro,Female,1-4,1,373,1914393
2018,Large Fringe Metro,Female,5-9,5,222,2498544
2018,Large Fringe Metro,Female,10-14,10,296,2666772
2018,Large Fringe Metro,Female,15-19,15,681,2614351
2018,Large Fringe Metro,Female,20-24,20,1237,2474098
2018,Large Fringe Metro,Female,25-29,25,1790,2599082
2018,Large Fringe Metro,Female,30-34,30,2316,2630457
2018,Large Fringe Metro,Female,35-39,35,2904,2753979
2018,Large Fringe Metro,Female,40-44,40,3509,2612921
2018,Large Fringe Metro,Female,45-49,45,5448,2828741
2018,Large Fringe Metro,Female,50-54,50,8679,2882309
2018,Large Fringe Metro,Female,55-59,55,13991,2971299
2018,Large Fringe Metro,Female,60-64,60,18474,2682879
2018,Large Fringe Metro,Female,65-69,65,22876,2236146
2018,Large Fringe Metro,Female,70-74,70,29576,1781893
2018,Large Fringe Metro,Female,75-79,75,35013,1249328
2018,Large Fringe Metro,Female,80-84,80,41937,847630
2018,Large Fringe Metro,Female,85+,85,134865,1029930
2019,Large Fringe Metro,Female,1,0,1959,442876
2019,Large Fringe Metro,Female,1-4,1,315,1906849
2019,Large Fringe Metro,Female,5-9,5,226,2507047
2019,Large Fringe Metro,Female,10-14,10,306,2655135
2019,Large Fringe Metro,Female,15-19,15,668,2619308
2019,Large Fringe Metro,Female,20-24,20,1197,2461023
2019,Large Fringe Metro,Female,25-29,25,1711,2610599
2019,Large Fringe Metro,Female,30-34,30,2320,2658798
2019,Large Fringe Metro,Female,35-39,35,3010,2781509
2019,Large Fringe Metro,Female,40-44,40,3540,2646312
2019,Large Fringe Metro,Female,45-49,45,5227,2776002
2019,Large Fringe Metro,Female,50-54,50,8305,2828606
2019,Large Fringe Metro,Female,55-59,55,13762,2979335
2019,Large Fringe Metro,Female,60-64,60,18899,2732167
2019,Large Fringe Metro,Female,65-69,65,23183,2290417
2019,Large Fringe Metro,Female,70-74,70,30737,1868555
2019,Large Fringe Metro,Female,75-79,75,36131,1311498
2019,Large Fringe Metro,Female,80-84,80,42803,877188
2019,Large Fringe Metro,Female,85+,85,133111,1034999
2017,Large Fringe Metro,Male,1,0,2572,475698
2017,Large Fringe Metro,Male,1-4,1,464,1991036
2017,Large Fringe Metro,Male,5-9,5,280,2617720
2017,Large Fringe Metro,Male,10-14,10,418,2772382
2017,Large Fringe Metro,Male,15-19,15,1794,2748061
2017,Large Fringe Metro,Male,20-24,20,3695,2596617
2017,Large Fringe Metro,Male,25-29,25,4987,2645508
2017,Large Fringe Metro,Male,30-34,30,5118,2604430
2017,Large Fringe Metro,Male,35-39,35,5529,2647012
2017,Large Fringe Metro,Male,40-44,40,5769,2523546
2017,Large Fringe Metro,Male,45-49,45,8973,2765798
2017,Large Fringe Metro,Male,50-54,50,13926,2822620
2017,Large Fringe Metro,Male,55-59,55,21195,2816745
2017,Large Fringe Metro,Male,60-64,60,27466,2418818
2017,Large Fringe Metro,Male,65-69,65,31692,1947562
2017,Large Fringe Metro,Male,70-74,70,36048,1458757
2017,Large Fringe Metro,Male,75-79,75,37503,935568
2017,Large Fringe Metro,Male,80-84,80,40160,593564
2017,Large Fringe Metro,Male,85+,85,81475,548563
2018,Large Fringe Metro,Male,1,0,2490,468633
2018,Large Fringe Metro,Male,1-4,1,471,2001946
2018,Large Fringe Metro,Male,5-9,5,269,2610913
2018,Large Fringe Metro,Male,10-14,10,399,2781320
2018,Large Fringe Metro,Male,15-19,15,1555,2745652
2018,Large Fringe Metro,Male,20-24,20,3345,2574208
2018,Large Fringe Metro,Male,25-29,25,4604,2692411
2018,Large Fringe Metro,Male,30-34,30,5003,2629836
