year,urbanization,sex,age_group,x,nDx,nEx
2018,NonCore (Nonmetro),Female,80-84,80,14913,266946
2018,NonCore (Nonmetro),Female,85+,85,40322,299375
2019,NonCore (Nonmetro),Female,1,0,564,97552
2019,NonCore (Nonmetro),Female,1-4,1,122,415348
2019,NonCore (Nonmetro),Female,5-9,5,77,538290
2019,NonCore (Nonmetro),Female,10-14,10,100,571859
2019,NonCore (Nonmetro),Female,15-19,15,275,541730
2019,NonCore (Nonmetro),Female,20-24,20,383,476624
2019,NonCore (Nonmetro),Female,25-29,25,515,512785
2019,NonCore (Nonmetro),Female,30-34,30,633,489745
2019,NonCore (Nonmetro),Female,35-39,35,925,516329
2019,NonCore (Nonmetro),Female,40-44,40,1200,500399
2019,NonCore (Nonmetro),Female,45-49,45,1807,536515
2019,NonCore (Nonmetro),Female,50-54,50,2807,576528
2019,NonCore (Nonmetro),Female,55-59,55,5069,692618
2019,NonCore (Nonmetro),Female,60-64,60,7157,710539
2019,NonCore (Nonmetro),Female,65-69,65,8733,642756
2019,NonCore (Nonmetro),Female,70-74,70,11123,533617
2019,NonCore (Nonmetro),Female,75-79,75,12942,393918
2019,NonCore (Nonmetro),Female,80-84,80,14972,271731
2019,NonCore (Nonmetro),Female,85+,85,39728,299725
2017,NonCore (Nonmetro),Male,1,0,768,106453
2017,NonCore (Nonmetro),Male,1-4,1,164,442555
2017,NonCore (Nonmetro),Male,5-9,5,97,574860
2017,NonCore (Nonmetro),Male,10-14,10,152,603067
2017,NonCore (Nonmetro),Male,15-19,15,559,602897
2017,NonCore (Nonmetro),Male,20-24,20,970,568905
2017,NonCore (Nonmetro),Male,25-29,25,1278,578459
2017,NonCore (Nonmetro),Male,30-34,30,1403,540872
2017,NonCore (Nonmetro),Male,35-39,35,1606,551695
2017,NonCore (Nonmetro),Male,40-44,40,1913,529474
2017,NonCore (Nonmetro),Male,45-49,45,2830,580537
2017,NonCore (Nonmetro),Male,50-54,50,4984,631517
2017,NonCore (Nonmetro),Male,55-59,55,8137,701541
2017,NonCore (Nonmetro),Male,60-64,60,11002,682939
2017,NonCore (Nonmetro),Male,65-69,65,13162,605824
2017,NonCore (Nonmetro),Male,70-74,70,14754,472547
2017,NonCore (Nonmetro),Male,75-79,75,15576,325804
2017,NonCore (Nonmetro),Male,80-84,80,15816,206773
2017,NonCore (Nonmetro),Male,85+,85,25856,166817
2018,NonCore (Nonmetro),Male,1,0,753,103647
2018,NonCore (Nonmetro),Male,1-4,1,187,440927
2018,NonCore (Nonmetro),Male,5-9,5,97,567909
2018,NonCore (Nonmetro),Male,10-14,10,140,604426
2018,NonCore (Nonmetro),Male,15-19,15,562,597957
2018,NonCore (Nonmetro),Male,20-24,20,949,560139
2018,NonCore (Nonmetro),Male,25-29,25,1181,587638
2018,NonCore (Nonmetro),Male,30-34,30,1320,539672
2018,NonCore (Nonmetro),Male,35-39,35,1714,555314
2018,NonCore (Nonmetro),Male,40-44,40,1873,529001
2018,NonCore (Nonmetro),Male,45-49,45,2879,572633
2018,NonCore (Nonmetro),Male,50-54,50,4811,608095
2018,NonCore (Nonmetro),Male,55-59,55,8134,692244
2018,NonCore (Nonmetro),Male,60-64,60,11048,688053
2018,NonCore (Nonmetro),Male,65-69,65,13340,610695
2018,NonCore (Nonmetro),Male,70-74,70,15086,487002
2018,NonCore (Nonmetro),Male,75-79,75,16034,340834
2018,NonCore (Nonmetro),Male,80-84,80,15792,213446
2018,NonCore (Nonmetro),Male,85+,85,25799,169696
2019,NonCore (Nonmetro),Male,1,0,689,102338
2019,NonCore (Nonmetro),Male,1-4,1,174,437168
2019,NonCore (Nonmetro),Male,5-9,5,100,565666
2019,NonCore (Nonmetro),Male,10-14,10,181,600076
2019,NonCore (Nonmetro),Male,15-19,15,570,591181
2019,NonCore (Nonmetro),Male,20-24,20,898,551858
2019,NonCore (Nonmetro),Male,25-29,25,1169,588036
2019,NonCore (Nonmetro),Male,30-34,30,1357,542899
2019,NonCore (Nonmetro),Male,35-39,35,1737,552412
2019,NonCore (Nonmetro),Male,40-44,40,2076,532440
2019,NonCore (Nonmetro),Male,45-49,45,2909,560610
2019,NonCore (Nonmetro),Male,50-54,50,4521,587393
2019,NonCore (Nonmetro),Male,55-59,55,7948,682598
2019,NonCore (Nonmetro),Male,60-64,60,11229,689823
2019,NonCore (Nonmetro),Male,65-69,65,13449,619115
2019,NonCore (Nonmetro),Male,70-74,70,15558,503309
2019,NonCore (Nonmetro),Male,75-79,75,16511,350018
2019,NonCore (Nonmetro),Male,80-84,80,16085,219171
2019,NonCore (Nonmetro),Male,85+,85,25964,173920
2017,Small Metro,Female,1,0,900,171663
2017,Small Metro,Female,1-4,1,161,698315
2017,Small Metro,Female,5-9,5,105,883756
2017,Small Metro,Female,10-14,10,127,897403
2017,Small Metro,Female,15-19,15,312,983066
2017,Small Metro,Female,20-24,20,565,1125349
2017,Small Metro,Female,25-29,25,777,984746
2017,Small Metro,Female,30-34,30,1025,898889
2017,Small Metro,Female,35-39,35,1292,883700
2017,Small Metro,Female,40-44,40,1574,809282
2017,Small Metro,Female,45-49,45,2511,874204
2017,Small Metro,Female,50-54,50,4106,932663
2017,Small Metro,Female,55-59,55,6525,1020087
2017,Small Metro,Female,60-64,60,8486,985685
2017,Small Metro,Female,65-69,65,10882,871889
2017,Small Metro,Female,70-74,70,13293,685552
2017,Small Metro,Female,75-79,75,15464,488350
2017,Small Metro,Female,80-84,80,18693,346121
2017,Small Metro,Female,85+,85,54792,404197
2018,Small Metro,Female,1,0,879,167177
2018,Small Metro,Female,1-4,1,141,697437
2018,Small Metro,Female,5-9,5,115,879912
2018,Small Metro,Female,10-14,10,137,905230
2018,Small Metro,Female,15-19,15,319,984663
2018,Small Metro,Female,20-24,20,518,1118139
2018,Small Metro,Female,25-29,25,729,991306
2018,Small Metro,Female,30-34,30,993,903087
2018,Small Metro,Female,35-39,35,1309,900264
2018,Small Metro,Female,40-44,40,1628,816861
2018,Small Metro,Female,45-49,45,2544,867724
2018,Small Metro,Female,50-54,50,3869,904321
2018,Small Metro,Female,55-59,55,6522,1015581
2018,Small Metro,Female,60-64,60,8762,1000624
2018,Small Metro,Female,65-69,65,10714,888431
2018,Small Metro,Female,70-74,70,13580,715388
2018,Small Metro,Female,75-79,75,16119,516708
2018,Small Metro,Female,80-84,80,18825,355125
2018,Small Metro,Female,85+,85,54802,406898
2019,Small Metro,Female,1,0,876,164847
2019,Small Metro,Female,1-4,1,169,689482
2019,Small Metro,Female,5-9,5,101,879473
2019,Small Metro,Female,10-14,10,137,903096
2019,Small Metro,Female,15-19,15,330,982216
2019,Small Metro,Female,20-24,20,497,1105955
2019,Small Metro,Female,25-29,25,681,984541
2019,Small Metro,Female,30-34,30,983,912487
2019,Small Metro,Female,35-39,35,1360,907495
2019,Small Metro,Female,40-44,40,1659,829362
2019,Small Metro,Female,45-49,45,2487,852580
2019,Small Metro,Female,50-54,50,3736,880695
2019,Small Metro,Female,55-59,55,6323,1008073
2019,Small Metro,Female,60-64,60,8986,1007744
2019,Small Metro,Female,65-69,65,10943,908610
2019,Small Metro,Female,70-74,70,13926,747992
2019,Small Metro,Female,75-79,75,16282,537323
2019,Small Metro,Female,80-84,80,19359,364459
2019,Small Metro,Female,85+,85,53659,407341
2017,Small Metro,Male,1,0,1236,179865
2017,Small Metro,Male,1-4,1,234,731449
2017,Small Metro,Male,5-9,5,127,924271
2017,Small Metro,Male,10-14,10,199,936229
2017,Small Metro,Male,15-19,15,743,1024910
2017,Small Metro,Male,20-24,20,1451,1230570
2017,Small Metro,Male,25-29,25,1802,1057301
2017,Small Metro,Male,30-34,30,2003,937542
2017,Small Metro,Male,35-39,35,2278,904110
2017,Small Metro,Male,40-44,40,2568,815896
2017,Small Metro,Male,45-49,45,3958,866764
2017,Small Metro,Male,50-54,50,6228,904265
2017,Small Metro,Male,55-59,55,9906,960395
2017,Small Metro,Male,60-64,60,12963,903040
2017,Small Metro,Male,65-69,65,15296,792862
2017,Small Metro,Male,70-74,70,17075,607239
2017,Small Metro,Male,75-79,75,17936,406407
2017,Small Metro,Male,80-84,80,18842,262034
2017,Small Metro,Male,85+,85,34833,227024
2018,Small Metro,Male,1,0,1229,175133
2018,Small Metro,Male,1-4,1,222,730950
2018,Small Metro,Male,5-9,5,141,920286
2018,Small Metro,Male,10-14,10,162,944973
2018,Small Metro,Male,15-19,15,722,1023625
2018,Small Metro,Male,20-24,20,1407,1217124
2018,Small Metro,Male,25-29,25,1837,1066439
2018,Small Metro,Male,30-34,30,2024,944116
2018,Small Metro,Male,35-39,35,2356,919479
2018,Small Metro,Male,40-44,40,2616,824782
2018,Small Metro,Male,45-49,45,3771,857794
2018,Small Metro,Male,50-54,50,6116,879635
2018,Small Metro,Male,55-59,55,10113,956083
2018,Small Metro,Male,60-64,60,13731,915935
2018,Small Metro,Male,65-69,65,16090,801565
2018,Small Metro,Male,70-74,70,17715,636015
2018,Small Metro,Male,75-79,75,18878,432490
2018,Small Metro,Male,80-84,80,19104,271379
2018,Small Metro,Male,85+,85,34842,232202
2019,Small Metro,Male,1,0,1162,172694
2019,Small Metro,Male,1-4,1,218,722679
2019,Small Metro,Male,5-9,5,141,921572
2019,Small Metro,Male,10-14,10,203,943444
2019,Small Metro,Male,15-19,15,678,1019563
2019,Small Metro,Male,20-24,20,1399,1200179
2019,Small Metro,Male,25-29,25,1740,1059991
2019,Small Metro,Male,30-34,30,2053,953296
2019,Small Metro,Male,35-39,35,2388,926216
2019,Small Metro,Male,40-44,40,2774,837832
2019,Small Metro,Male,45-49,45,3825,843054
2019,Small Metro,Male,50-54,50,5803,859309
2019,Small Metro,Male,55-59,55,9850,949177
2019,Small Metro,Male,60-64,60,13635,923094
2019,Small Metro,Male,65-69,65,16051,815556
2019,Small Metro,Male,70-74,70,18204,666257
2019,Small Metro,Male,75-79,75,19320,448992
2019,Small Metro,Male,80-84,80,19418,279803
2019,Small Metro,Male,85+,85,35073,237544
