urbanization,ageGroup,startAge,sex,year,deaths,pop
Large Fringe Metro,20-24,20,Female,2017,1229,2484795
Large Fringe Metro,25-29,25,Female,2017,1824,2562019
Large Fringe Metro,30-34,30,Female,2017,2366,2617109
Large Fringe Metro,35-39,35,Female,2017,2852,2707985
Large Fringe Metro,40-44,40,Female,2017,3480,2602280
Large Fringe Metro,45-49,45,Female,2017,5725,2866469
Large Fringe Metro,50-54,50,Female,2017,9035,2947983
Large Fringe Metro,55-59,55,Female,2017,14386,2966437
Large Fringe Metro,60-64,60,Female,2017,18277,2620556
Large Fringe Metro,65-69,65,Female,2017,23022,2200330
Large Fringe Metro,70-74,70,Female,2017,29063,1705712
Large Fringe Metro,75-79,75,Female,2017,33097,1167398
Large Fringe Metro,80-84,80,Female,2017,41544,825179
Large Fringe Metro,85+,85,Female,2017,133602,1019427
Large Fringe Metro,1,0,Female,2018,2014,447240
Large Fringe Metro,1-4,1,Female,2018,373,1914393
Large Fringe Metro,5-9,5,Female,2018,222,2498544
Large Fringe Metro,10-14,10,Female,2018,296,2666772
Large Fringe Metro,15-19,15,Female,2018,681,2614351
Large Fringe Metro,20-24,20,Female,2018,1237,2474098
Large Fringe Metro,25-29,25,Female,2018,1790,2599082
Large Fringe Metro,30-34,30,Female,2018,2316,2630457
Large Fringe Metro,35-39,35,Female,2018,2904,2753979
Large Fringe Metro,40-44,40,Female,2018,3509,2612921
Large Fringe Metro,45-49,45,Female,2018,5448,2828741
Large Fringe Metro,50-54,50,Female,2018,8679,2882309
Large Fringe Metro,55-59,55,Female,2018,13991,2971299
Large Fringe Metro,60-64,60,Female,2018,18474,2682879
Large Fringe Metro,65-69,65,Female,2018,22876,2236146
Large Fringe Metro,70-74,70,Female,2018,29576,1781893
Large Fringe Metro,75-79,75,Female,2018,35013,1249328
Large Fringe Metro,80-84,80,Female,2018,41937,847630
Large Fringe Metro,85+,85,Female,2018,134865,1029930
Large Fringe Metro,1,0,Female,2019,1959,442876
Large Fringe Metro,1-4,1,Female,2019,315,1906849
Large Fringe Metro,5-9,5,Female,2019,226,2507047
Large Fringe Metro,10-14,10,Female,2019,306,2655135
Large Fringe Metro,15-19,15,Female,2019,668,2619308
Large Fringe Metro,20-24,20,Female,2019,1197,2461023
Large Fringe Metro,25-29,25,Female,2019,1711,2610599
Large Fringe Metro,30-34,30,Female,2019,2320,2658798
Large Fringe Metro,35-39,35,Female,2019,3010,2781509
Large Fringe Metro,40-44,40,Female,2019,3540,2646312
Large Fringe Metro,45-49,45,Female,2019,5227,2776002
Large Fringe Metro,50-54,50,Female,2019,8305,2828606
Large Fringe Metro,55-59,55,Female,2019,13762,2979335
Large Fringe Metro,60-64,60,Female,2019,18899,2732167
Large Fringe Metro,65-69,65,Female,2019,23183,2290417
Large Fringe Metro,70-74,70,Female,2019,30737,1868555
Large Fringe Metro,75-79,75,Female,2019,36131,1311498
Large Fringe Metro,80-84,80,Female,2019,42803,877188
Large Fringe Metro,85+,85,Female,2019,133111,1034999
Large Fringe Metro,1,0,Male,2017,2572,475698
Large Fringe Metro,1-4,1,Male,2017,464,1991036
Large Fringe Metro,5-9,5,Male,2017,280,2617720
Large Fringe Metro,10-14,10,Male,2017,418,2772382
Large Fringe Metro,15-19,15,Male,2017,1794,2748061
Large Fringe Metro,20-24,20,Male,2017,3695,2596617
Large Fringe Metro,25-29,25,Male,2017,4987,2645508
Large Fringe Metro,30-34,30,Male,2017,5118,2604430
Large Fringe Metro,35-39,35,Male,2017,5529,2647012
Large Fringe Metro,40-44,40,Male,2017,5769,2523546
Large Fringe Metro,45-49,45,Male,2017,8973,2765798
Large Fringe Metro,50-54,50,Male,2017,13926,2822620
Large Fringe Metro,55-59,55,Male,2017,21195,2816745
Large Fringe Metro,60-64,60,Male,2017,27466,2418818
Large Fringe Metro,65-69,65,Male,2017,31692,1947562
Large Fringe Metro,70-74,70,Male,2017,36048,1458757
Large Fringe Metro,75-79,75,Male,2017,37503,935568
Large Fringe Metro,80-84,80,Male,2017,40160,593564
Large Fringe Metro,85+,85,Male,2017,81475,548563
Large Fringe Metro,1,0,Male,2018,2490,468633
Large Fringe Metro,1-4,1,Male,2018,471,2001946
Large Fringe Metro,5-9,5,Male,2018,269,2610913
Large Fringe Metro,10-14,10,Male,2018,399,2781320
Large Fringe Metro,15-19,15,Male,2018,1555,2745652
Large Fringe Metro,20-24,20,Male,2018,3345,2574208
Large Fringe Metro,25-29,25,Male,2018,4604,2692411
Large Fringe Metro,30-34,30,Male,2018,5003,2629836
Large Fringe Metro,35-39,35,Male,2018,5569,2696650
Large Fringe Metro,40-44,40,Male,2018,5952,2540485
Large Fringe Metro,45-49,45,Male,2018,8633,2730893
Large Fringe Metro,50-54,50,Male,2018,13460,2762017
Large Fringe Metro,55-59,55,Male,2018,21436,2821428
Large Fringe Metro,60-64,60,Male,2018,27859,2480707
Large Fringe Metro,65-69,65,Male,2018,32408,1975359
Large Fringe Metro,70-74,70,Male,2018,36902,1524343
Large Fringe Metro,75-79,75,Male,2018,39586,1005265
Large Fringe Metro,80-84,80,Male,2018,40722,614916
Large Fringe Metro,85+,85,Male,2018,82606,561566
Large Fringe Metro,1,0,Male,2019,2516,464016
Large Fringe Metro,1-4,1,Male,2019,397,1990950
Large Fringe Metro,5-9,5,Male,2019,258,2621167
Large Fringe Metro,10-14,10,Male,2019,408,2769726
Large Fringe Metro,15-19,15,Male,2019,1608,2744915
Large Fringe Metro,20-24,20,Male,2019,3250,2560506
Large Fringe Metro,25-29,25,Male,2019,4533,2710647
Large Fringe Metro,30-34,30,Male,2019,4948,2668916
Large Fringe Metro,35-39,35,Male,2019,5738,2728114
Large Fringe Metro,40-44,40,Male,2019,6229,2576448
Large Fringe Metro,45-49,45,Male,2019,8600,2684500
Large Fringe Metro,50-54,50,Male,2019,13178,2715306
Large Fringe Metro,55-59,55,Male,2019,20930,2829038
Large Fringe Metro,60-64,60,Male,2019,28129,2533068
Large Fringe Metro,65-69,65,Male,2019,32843,2024909
Large Fringe Metro,70-74,70,Male,2019,38263,1596539
Large Fringe Metro,75-79,75,Male,2019,40582,1053436
