urbanization,ageGroup,startAge,sex,year,deaths,pop
NonCore (Nonmetro),1,0,Female,2019,564,97552
NonCore (Nonmetro),1-4,1,Female,2019,122,415348
NonCore (Nonmetro),5-9,5,Female,2019,77,538290
NonCore (Nonmetro),10-14,10,Female,2019,100,571859
NonCore (Nonmetro),15-19,15,Female,2019,275,541730
NonCore (Nonmetro),20-24,20,Female,2019,383,476624
NonCore (Nonmetro),25-29,25,Female,2019,515,512785
NonCore (Nonmetro),30-34,30,Female,2019,633,489745
NonCore (Nonmetro),35-39,35,Female,2019,925,516329
NonCore (Nonmetro),40-44,40,Female,2019,1200,500399
NonCore (Nonmetro),45-49,45,Female,2019,1807,536515
NonCore (Nonmetro),50-54,50,Female,2019,2807,576528
NonCore (Nonmetro),55-59,55,Female,2019,5069,692618
NonCore (Nonmetro),60-64,60,Female,2019,7157,710539
NonCore (Nonmetro),65-69,65,Female,2019,8733,642756
NonCore (Nonmetro),70-74,70,Female,2019,11123,533617
NonCore (Nonmetro),75-79,75,Female,2019,12942,393918
NonCore (Nonmetro),80-84,80,Female,2019,14972,271731
NonCore (Nonmetro),85+,85,Female,2019,39728,299725
NonCore (Nonmetro),1,0,Male,2017,768,106453
NonCore (Nonmetro),1-4,1,Male,2017,164,442555
NonCore (Nonmetro),5-9,5,Male,2017,97,574860
NonCore (Nonmetro),10-14,10,Male,2017,152,603067
NonCore (Nonmetro),15-19,15,Male,2017,559,602897
NonCore (Nonmetro),20-24,20,Male,2017,970,568905
NonCore (Nonmetro),25-29,25,Male,2017,1278,578459
NonCore (Nonmetro),30-34,30,Male,2017,1403,540872
NonCore (Nonmetro),35-39,35,Male,2017,1606,551695
NonCore (Nonmetro),40-44,40,Male,2017,1913,529474
NonCore (Nonmetro),45-49,45,Male,2017,2830,580537
NonCore (Nonmetro),50-54,50,Male,2017,4984,631517
NonCore (Nonmetro),55-59,55,Male,2017,8137,701541
NonCore (Nonmetro),60-64,60,Male,2017,11002,682939
NonCore (Nonmetro),65-69,65,Male,2017,13162,605824
NonCore (Nonmetro),70-74,70,Male,2017,14754,472547
NonCore (Nonmetro),75-79,75,Male,2017,15576,325804
NonCore (Nonmetro),80-84,80,Male,2017,15816,206773
NonCore (Nonmetro),85+,85,Male,2017,25856,166817
NonCore (Nonmetro),1,0,Male,2018,753,103647
NonCore (Nonmetro),1-4,1,Male,2018,187,440927
NonCore (Nonmetro),5-9,5,Male,2018,97,567909
NonCore (Nonmetro),10-14,10,Male,2018,140,604426
NonCore (Nonmetro),15-19,15,Male,2018,562,597957
NonCore (Nonmetro),20-24,20,Male,2018,949,560139
NonCore (Nonmetro),25-29,25,Male,2018,1181,587638
NonCore (Nonmetro),30-34,30,Male,2018,1320,539672
NonCore (Nonmetro),35-39,35,Male,2018,1714,555314
NonCore (Nonmetro),40-44,40,Male,2018,1873,529001
NonCore (Nonmetro),45-49,45,Male,2018,2879,572633
NonCore (Nonmetro),50-54,50,Male,2018,4811,608095
NonCore (Nonmetro),55-59,55,Male,2018,8134,692244
NonCore (Nonmetro),60-64,60,Male,2018,11048,688053
NonCore (Nonmetro),65-69,65,Male,2018,13340,610695
NonCore (Nonmetro),70-74,70,Male,2018,15086,487002
NonCore (Nonmetro),75-79,75,Male,2018,16034,340834
NonCore (Nonmetro),80-84,80,Male,2018,15792,213446
NonCore (Nonmetro),85+,85,Male,2018,25799,169696
NonCore (Nonmetro),1,0,Male,2019,689,102338
NonCore (Nonmetro),1-4,1,Male,2019,174,437168
NonCore (Nonmetro),5-9,5,Male,2019,100,565666
NonCore (Nonmetro),10-14,10,Male,2019,181,600076
NonCore (Nonmetro),15-19,15,Male,2019,570,591181
NonCore (Nonmetro),20-24,20,Male,2019,898,551858
NonCore (Nonmetro),25-29,25,Male,2019,1169,588036
NonCore (Nonmetro),30-34,30,Male,2019,1357,542899
NonCore (Nonmetro),35-39,35,Male,2019,1737,552412
NonCore (Nonmetro),40-44,40,Male,2019,2076,532440
NonCore (Nonmetro),45-49,45,Male,2019,2909,560610
NonCore (Nonmetro),50-54,50,Male,2019,4521,587393
NonCore (Nonmetro),55-59,55,Male,2019,7948,682598
NonCore (Nonmetro),60-64,60,Male,2019,11229,689823
NonCore (Nonmetro),65-69,65,Male,2019,13449,619115
NonCore (Nonmetro),70-74,70,Male,2019,15558,503309
NonCore (Nonmetro),75-79,75,Male,2019,16511,350018
NonCore (Nonmetro),80-84,80,Male,2019,16085,219171
NonCore (Nonmetro),85+,85,Male,2019,25964,173920
Small Metro,1,0,Female,2017,900,171663
Small Metro,1-4,1,Female,2017,161,698315
Small Metro,5-9,5,Female,2017,105,883756
Small Metro,10-14,10,Female,2017,127,897403
Small Metro,15-19,15,Female,2017,312,983066
Small Metro,20-24,20,Female,2017,565,1125349
Small Metro,25-29,25,Female,2017,777,984746
Small Metro,30-34,30,Female,2017,1025,898889
Small Metro,35-39,35,Female,2017,1292,883700
Small Metro,40-44,40,Female,2017,1574,809282
Small Metro,45-49,45,Female,2017,2511,874204
Small Metro,50-54,50,Female,2017,4106,932663
Small Metro,55-59,55,Female,2017,6525,1020087
Small Metro,60-64,60,Female,2017,8486,985685
Small Metro,65-69,65,Female,2017,10882,871889
Small Metro,70-74,70,Female,2017,13293,685552
Small Metro,75-79,75,Female,2017,15464,488350
Small Metro,80-84,80,Female,2017,18693,346121
Small Metro,85+,85,Female,2017,54792,404197
Small Metro,1,0,Female,2018,879,167177
Small Metro,1-4,1,Female,2018,141,697437
Small Metro,5-9,5,Female,2018,115,879912
Small Metro,10-14,10,Female,2018,137,905230
Small Metro,15-19,15,Female,2018,319,984663
Small Metro,20-24,20,Female,2018,518,1118139
Small Metro,25-29,25,Female,2018,729,991306
Small Metro,30-34,30,Female,2018,993,903087
Small Metro,35-39,35,Female,2018,1309,900264
Small Metro,40-44,40,Female,2018,1628,816861
Small Metro,45-49,45,Female,2018,2544,867724
Small Metro,50-54,50,Female,2018,3869,904321
Small Metro,55-59,55,Female,2018,6522,1015581
Small Metro,60-64,60,Female,2018,8762,1000624
Small Metro,65-69,65,Female,2018,10714,888431
Small Metro,70-74,70,Female,2018,13580,715388
Small Metro,75-79,75,Female,2018,16119,516708
Small Metro,80-84,80,Female,2018,18825,355125
Small Metro,85+,85,Female,2018,54802,406898
Small Metro,1,0,Female,2019,876,164847
Small Metro,1-4,1,Female,2019,169,689482
Small Metro,5-9,5,Female,2019,101,879473
Small Metro,10-14,10,Female,2019,137,903096
Small Metro,15-19,15,Female,2019,330,982216
Small Metro,20-24,20,Female,2019,497,1105955
Small Metro,25-29,25,Female,2019,681,984541
Small Metro,30-34,30,Female,2019,983,912487
Small Metro,35-39,35,Female,2019,1360,907495
Small Metro,40-44,40,Female,2019,1659,829362
Small Metro,45-49,45,Female,2019,2487,852580
Small Metro,50-54,50,Female,2019,3736,880695
Small Metro,55-59,55,Female,2019,6323,1008073
Small Metro,60-64,60,Female,2019,8986,1007744
Small Metro,65-69,65,Female,2019,10943,908610
Small Metro,70-74,70,Female,2019,13926,747992
Small Metro,75-79,75,Female,2019,16282,537323
Small Metro,80-84,80,Female,2019,19359,364459
Small Metro,85+,85,Female,2019,53659,407341
Small Metro,1,0,Male,2017,1236,179865
Small Metro,1-4,1,Male,2017,234,731449
Small Metro,5-9,5,Male,2017,127,924271
Small Metro,10-14,10,Male,2017,199,936229
Small Metro,15-19,15,Male,2017,743,1024910
Small Metro,20-24,20,Male,2017,1451,1230570
Small Metro,25-29,25,Male,2017,1802,1057301
Small Metro,30-34,30,Male,2017,2003,937542
Small Metro,35-39,35,Male,2017,2278,904110
Small Metro,40-44,40,Male,2017,2568,815896
Small Metro,45-49,45,Male,2017,3958,866764
Small Metro,50-54,50,Male,2017,6228,904265
Small Metro,55-59,55,Male,2017,9906,960395
Small Metro,60-64,60,Male,2017,12963,903040
Small Metro,65-69,65,Male,2017,15296,792862
Small Metro,70-74,70,Male,2017,17075,607239
Small Metro,75-79,75,Male,2017,17936,406407
Small Metro,80-84,80,Male,2017,18842,262034
Small Metro,85+,85,Male,2017,34833,227024
Small Metro,1,0,Male,2018,1229,175133
Small Metro,1-4,1,Male,2018,222,730950
Small Metro,5-9,5,Male,2018,141,920286
Small Metro,10-14,10,Male,2018,162,944973
Small Metro,15-19,15,Male,2018,722,1023625
Small Metro,20-24,20,Male,2018,1407,1217124
Small Metro,25-29,25,Male,2018,1837,1066439
Small Metro,30-34,30,Male,2018,2024,944116
Small Metro,35-39,35,Male,2018,2356,919479
Small Metro,40-44,40,Male,2018,2616,824782
Small Metro,45-49,45,Male,2018,3771,857794
Small Metro,50-54,50,Male,2018,6116,879635
Small Metro,55-59,55,Male,2018,10113,956083
Small Metro,60-64,60,Male,2018,13731,915935
Small Metro,65-69,65,Male,2018,16090,801565
Small Metro,70-74,70,Male,2018,17715,636015
Small Metro,75-79,75,Male,2018,18878,432490
Small Metro,80-84,80,Male,2018,19104,271379
Small Metro,85+,85,Male,2018,34842,232202
Small Metro,1,0,Male,2019,1162,172694
Small Metro,1-4,1,Male,2019,218,722679
Small Metro,5-9,5,Male,2019,141,921572
Small Metro,10-14,10,Male,2019,203,943444
Small Metro,15-19,15,Male,2019,678,1019563
Small Metro,20-24,20,Male,2019,1399,1200179
Small Metro,25-29,25,Male,2019,1740,1059991
Small Metro,30-34,30,Male,2019,2053,953296
Small Metro,35-39,35,Male,2019,2388,926216
Small Metro,40-44,40,Male,2019,2774,837832
Small Metro,45-49,45,Male,2019,3825,843054
Small Metro,50-54,50,Male,2019,5803,859309
Small Metro,55-59,55,Male,2019,9850,949177
Small Metro,60-64,60,Male,2019,13635,923094
Small Metro,65-69,65,Male,2019,16051,815556
Small Metro,70-74,70,Male,2019,18204,666257
Small Metro,75-79,75,Male,2019,19320,448992
Small Metro,80-84,80,Male,2019,19418,279803
Small Metro,85+,85,Male,2019,35073,237544
